"ST";"CLV";"Resp.";"COV";"EDUC";"EMPS";"GEN";"INC";"LOCC";"MARS";"MPA";"MSLC";"MSPI";"NOP";"PT";"TCA";"VC";"VS";"Cluster"
"WASH";2763.519279;"No";"Basic";"BACH";"EMP";"F";56274;"SUBU";"MAR";69;32;5;1;"CORP";384.811147;"2D";"M";1
"AR";6979.535903;"No";"Extended";"BACH";"UNEMP";"F";0;"SUBU";"SING";94;13;42;8;"PERS";1131.464935;"4D";"M";2
"NEV";12887.43165;"No";"Premium";"BACH";"EMP";"F";48767;"SUBU";"MAR";108;18;38;2;"PERS";566.472247;"2D";"M";1
"CAL";7645.861827;"No";"Basic";"BACH";"UNEMP";"M";0;"SUBU";"MAR";106;18;65;7;"CORP";529.881344;"SUV";"M";2
"WASH";2813.692575;"No";"Basic";"BACH";"EMP";"M";43836;"RUR";"SING";73;12;44;1;"PERS";138.130879;"4D";"M";3
"OR";8256.2978;"Yes";"Basic";"BACH";"EMP";"F";62902;"RUR";"MAR";69;14;94;2;"PERS";159.383042;"2D";"M";3
"OR";5380.898636;"Yes";"Basic";"COLL";"EMP";"F";55350;"SUBU";"MAR";67;0;13;9;"CORP";321.6;"4D";"M";2
"AR";7216.100311;"No";"Premium";"MAST";"UNEMP";"M";0;"URB";"SING";101;15.3737888832228;68;4;"CORP";363.02968;"4D";"M";3
"OR";24127.50402;"Yes";"Basic";"BACH";"ML";"M";14072;"SUBU";"DIV";71;13;3;2;"CORP";511.2;"4D";"M";1
"OR";7388.178085;"No";"Extended";"COLL";"EMP";"F";28812;"URB";"MAR";93;17;7;8;"SPEC";425.527834;"4D";"M";2
"CAL";4738.992022;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";67;23;5;3;"PERS";482.4;"4D";"S";1
"CAL";8197.197078;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"MAR";110;27;87;3;"PERS";528;"SUV";"M";3
"CAL";8798.797003;"No";"Premium";"MAST";"EMP";"M";77026;"URB";"MAR";110;9;82;3;"CORP";472.029737;"4D";"M";1
"AR";8819.018934;"Yes";"Basic";"HSOB";"EMP";"M";99845;"SUBU";"MAR";110;23;25;8;"CORP";528;"SUV";"M";2
"CAL";5384.431665;"No";"Basic";"COLL";"EMP";"M";83689;"URB";"SING";70;21;10;8;"CORP";307.139132;"4D";"M";2
"OR";7463.139377;"No";"Basic";"BACH";"EMP";"F";24599;"RUR";"MAR";64;12;50;2;"CORP";42.920271;"4D";"M";1
"NEV";2566.867823;"No";"Basic";"HSOB";"ML";"M";25049;"SUBU";"MAR";67;14;7;1;"PERS";454.245098;"2D";"M";1
"CAL";3945.241604;"No";"Basic";"COLL";"ML";"M";28855;"SUBU";"MAR";101;12;59;1;"PERS";647.442031;"SUV";"M";3
"OR";5710.333115;"No";"Basic";"COLL";"EMP";"M";51148;"URB";"MAR";72;9;1;7;"PERS";308.981664;"4D";"M";2
"CAL";8162.617053;"No";"Premium";"HSOB";"EMP";"F";66140;"SUBU";"MAR";101;11;21;3;"CORP";484.8;"4D";"S";1
"OR";2872.051273;"No";"Basic";"HSOB";"EMP";"M";57749;"SUBU";"SING";74;31;21;1;"PERS";355.2;"2D";"M";1
"WASH";3041.791561;"No";"Extended";"BACH";"DIS";"F";13789;"SUBU";"DIV";79;8;49;1;"PERS";379.2;"4D";"M";3
"AR";24127.50402;"Yes";"Basic";"BACH";"ML";"M";14072;"SUBU";"DIV";71;13;3;2;"PERS";511.2;"4D";"M";1
"NEV";2450.190996;"No";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"SING";73;4;44;1;"CORP";554.376763;"4D";"M";1
"CAL";2392.10789;"No";"Basic";"BACH";"DIS";"F";17870;"SUBU";"MAR";61;30;91;1;"CORP";439.2;"4D";"M";3
"OR";5802.065978;"No";"Basic";"COLL";"EMP";"M";97541;"SUBU";"MAR";72;22;1;3;"PERS";389.185006;"4D";"L";1
"CAL";3946.372085;"No";"Premium";"BACH";"UNEMP";"F";0;"SUBU";"SING";111;15;47;1;"PERS";799.2;"4D";"S";1
"WASH";5346.916576;"No";"Extended";"MAST";"DIS";"F";10511;"URB";"MAR";139;33;64;1;"CORP";516.237951;"SUV";"M";3
"AR";12902.56014;"No";"Premium";"COLL";"EMP";"F";86584;"SUBU";"SING";111;33;54;2;"PERS";532.8;"4D";"L";1
"OR";3235.360468;"No";"Extended";"MAST";"EMP";"F";75690;"SUBU";"MAR";80;17;44;1;"PERS";384;"4D";"S";1
"AR";2454.58354;"No";"Basic";"COLL";"EMP";"M";23158;"SUBU";"MAR";63;4;6;1;"PERS";322.294043;"4D";"S";1
"NEV";18975.45611;"No";"Extended";"HSOB";"EMP";"M";65999;"URB";"MAR";237;1;14;6;"CORP";615.927769;"LUXS";"M";2
"CAL";4715.321344;"No";"Basic";"BACH";"UNEMP";"M";0;"URB";"MAR";65;19;56;3;"PERS";308.15089;"4D";"M";1
"WASH";5018.885233;"No";"Basic";"BACH";"EMP";"M";54500;"SUBU";"MAR";63;28;17;6;"CORP";302.4;"2D";"S";2
"OR";4932.916345;"No";"Basic";"BACH";"EMP";"F";37260;"RUR";"MAR";62;19;42;8;"CORP";15.437681;"4D";"M";2
"AR";5744.229745;"No";"Basic";"HSOB";"EMP";"F";68987;"URB";"MAR";71;11;40;6;"PERS";204.475147;"4D";"M";1
"CAL";13891.73567;"No";"Premium";"BACH";"EMP";"M";42305;"SUBU";"MAR";117;10;62;2;"PERS";561.6;"4D";"S";3
"OR";7380.976717;"No";"Extended";"MAST";"EMP";"F";65706;"SUBU";"MAR";91;19;86;8;"PERS";436.8;"4D";"S";2
"OR";3090.034104;"No";"Extended";"BACH";"UNEMP";"M";0;"SUBU";"SING";90;7;79;1;"PERS";648;"2D";"S";3
"AR";2521.633095;"No";"Basic";"HSOB";"EMP";"M";53243;"RUR";"DIV";66;4;15;1;"PERS";157.397849;"4D";"M";1
"NEV";2652.061785;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";70;7;1;1;"CORP";484.318536;"2D";"M";1
"OR";2771.045031;"Yes";"Basic";"COLL";"EMP";"F";50071;"RUR";"SING";71;3;32;1;"CORP";18.918935;"2D";"M";1
"CAL";3939.00637;"Yes";"Extended";"BACH";"EMP";"F";60021;"SUBU";"MAR";99;13.9669211195929;28;1;"PERS";882.871945;"4D";"S";1
"AR";12231.87968;"No";"Basic";"HSOB";"EMP";"M";43244;"SUBU";"MAR";103;15;16;2;"PERS";494.4;"SPO";"M";1
"WASH";2443.665166;"No";"Basic";"COLL";"EMP";"M";92834;"SUBU";"MAR";61;15;56;1;"SPEC";292.8;"4D";"L";3
"OR";12819.10289;"No";"Premium";"DOCT";"DIS";"F";10105;"RUR";"MAR";172;5;4;3;"PERS";0.517753;"SUV";"M";1
"AR";4468.510542;"No";"Basic";"BACH";"UNEMP";"M";0;"SUBU";"SING";73;15.3737888832228;57;5;"PERS";579.165954;"4D";"M";1
"OR";5514.344018;"No";"Basic";"HSOB";"EMP";"F";23218;"SUBU";"SING";71;7;10;4;"PERS";447.79344;"2D";"M";1
"CAL";3343.875326;"No";"Extended";"BACH";"UNEMP";"F";0;"SUBU";"MAR";92;11;77;1;"CORP";529.624084;"4D";"M";3
"AR";2294.478927;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";62;11;56;1;"PERS";313.023175;"4D";"M";3
"OR";36707.42639;"No";"Basic";"COLL";"EMP";"M";24804;"SUBU";"MAR";104;1;28;2;"PERS";593.830288;"SUV";"S";1
"CAL";33473.34946;"Yes";"Basic";"BACH";"EMP";"F";33190;"SUBU";"DIV";106;18;95;2;"CORP";508.8;"SUV";"M";3
"NEV";7983.431709;"No";"Basic";"HSOB";"EMP";"F";36014;"RUR";"MAR";69;4;40;2;"SPEC";173.956072;"4D";"M";1
"WASH";4854.745666;"No";"Basic";"BACH";"EMP";"M";29834;"SUBU";"SING";64;19;44;3;"PERS";307.2;"4D";"M";3
"CAL";4293.997319;"No";"Premium";"BACH";"DIS";"M";16701;"SUBU";"MAR";113;20;26;1;"PERS";831.625979;"4D";"S";1
"AR";7164.395543;"No";"Extended";"COLL";"EMP";"F";46623;"SUBU";"DIV";91;1;53;3;"CORP";436.8;"4D";"S";1
"CAL";7619.5158;"No";"Basic";"COLL";"EMP";"M";64749;"URB";"MAR";64;24;59;2;"SPEC";302.56519;"4D";"M";3
"AR";3958.002823;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";101;29;12;1;"PERS";484.8;"SUV";"S";1
"OR";4499.493252;"No";"Extended";"HSOB";"DIS";"F";16969;"SUBU";"DIV";124;34;47;1;"PERS";704.768111;"SUV";"M";3
"OR";4059.567414;"No";"Premium";"MAST";"DIS";"F";11621;"SUBU";"DIV";108;4;98;1;"PERS";518.4;"4D";"M";3
"AR";4458.113369;"Yes";"Basic";"BACH";"RET";"M";17622;"SUBU";"DIV";65;1;36;3;"PERS";312;"4D";"M";1
"CAL";8110.333139;"No";"Premium";"BACH";"ML";"F";11489;"SUBU";"MAR";105;4;50;6;"PERS";504;"2D";"S";2
"OR";3339.764873;"No";"Extended";"BACH";"UNEMP";"M";0;"SUBU";"SING";94;15.3737888832228;53;1;"PERS";863.327324;"2D";"S";3
"CAL";24261.01777;"No";"Basic";"HSOB";"EMP";"F";66525;"RUR";"MAR";100;0;86;2;"PERS";104.331355;"SUV";"M";3
"AR";6613.973653;"No";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"SING";63;21;28;2;"PERS";676.391482;"4D";"L";1
"WASH";2930.693543;"No";"Basic";"COLL";"EMP";"M";33663;"SUBU";"MAR";73;29;71;1;"PERS";350.4;"4D";"M";3
"OR";8672.194272;"No";"Basic";"COLL";"EMP";"F";22547;"SUBU";"DIV";112;7;60;3;"CORP";537.6;"SUV";"M";3
"AR";11638.66926;"No";"Extended";"HSOB";"EMP";"F";61486;"URB";"MAR";97;5;65;2;"PERS";465.258644;"2D";"S";3
"OR";6846.150323;"Yes";"Extended";"BACH";"UNEMP";"F";0;"SUBU";"DIV";95;13;20;5;"PERS";456;"2D";"L";1
"CAL";11727.77648;"No";"Premium";"COLL";"DIS";"F";29879;"SUBU";"MAR";102;17;0;2;"PERS";500.254235;"4D";"M";1
"OR";22643.83478;"No";"Basic";"HSOB";"EMP";"M";93011;"RUR";"DIV";113;17;12;2;"PERS";281.451042;"SUV";"M";1
"OR";2614.474305;"No";"Basic";"MAST";"EMP";"M";65186;"RUR";"MAR";65;29;27;1;"PERS";5.434505;"2D";"L";1
"OR";2451.752695;"No";"Basic";"MAST";"ML";"M";26840;"SUBU";"MAR";64;1;47;1;"PERS";307.2;"4D";"M";1
"OR";6781.270203;"No";"Basic";"BACH";"UNEMP";"M";0;"SUBU";"SING";104;15.3737888832228;3;5;"PERS";982.399613;"SPO";"M";1
"OR";4974.801539;"Yes";"Basic";"BACH";"EMP";"M";75644;"SUBU";"DIV";65;5;68;9;"PERS";467.803638;"2D";"M";2
"OR";8591.604933;"No";"Basic";"BACH";"EMP";"M";38984;"SUBU";"MAR";73;27;38;2;"PERS";350.4;"4D";"S";1
"OR";5592.161392;"No";"Basic";"HSOB";"EMP";"F";71811;"RUR";"SING";71;17;48;6;"PERS";29.03416;"4D";"M";2
"NEV";8009.472833;"No";"Basic";"COLL";"EMP";"M";20961;"SUBU";"MAR";67;20;33;2;"PERS";321.6;"4D";"M";1
