"ST";"CLV";"Resp.";"COV";"EDUC";"EMPS";"GEN";"INC";"LOCC";"MARS";"MPA";"MSLC";"MSPI";"NOP";"PT";"TCA";"VC";"VS"
"WASH";2763.519279;"No";"Basic";"BACH";"EMP";"F";56274;"SUBU";"MAR";69;32;5;1;"CORP";384.811147;"2D";"Medsize"
"AR";6979.535903;"No";"Extended";"BACH";"UNEMP";"F";0;"SUBU";"SING";94;13;42;8;"PERS";1131.464935;"4D";"Medsize"
"NEV";12887.43165;"No";"Premium";"BACH";"EMP";"F";48767;"SUBU";"MAR";108;18;38;2;"PERS";566.472247;"2D";"Medsize"
"CAL";7645.861827;"No";"Basic";"BACH";"UNEMP";"M";0;"SUBU";"MAR";106;18;65;7;"CORP";529.881344;"SUV";"Medsize"
"WASH";2813.692575;"No";"Basic";"BACH";"EMP";"M";43836;"RUR";"SING";73;12;44;1;"PERS";138.130879;"4D";"Medsize"
"OR";8256.2978;"Yes";"Basic";"BACH";"EMP";"F";62902;"RUR";"MAR";69;14;94;2;"PERS";159.383042;"2D";"Medsize"
"OR";5380.898636;"Yes";"Basic";"COLL";"EMP";"F";55350;"SUBU";"MAR";67;0;13;9;"CORP";321.6;"4D";"Medsize"
"AR";7216.100311;"No";"Premium";"MAST";"UNEMP";"M";0;"URB";"SING";101;0;68;4;"CORP";363.02968;"4D";"Medsize"
"OR";24127.50402;"Yes";"Basic";"BACH";"ML";"M";14072;"SUBU";"DIV";71;13;3;2;"CORP";511.2;"4D";"Medsize"
"OR";7388.178085;"No";"Extended";"COLL";"EMP";"F";28812;"URB";"MAR";93;17;7;8;"SPEC";425.527834;"4D";"Medsize"
"CAL";4738.992022;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";67;23;5;3;"PERS";482.4;"4D";"Small"
"CAL";8197.197078;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"MAR";110;27;87;3;"PERS";528;"SUV";"Medsize"
"CAL";8798.797003;"No";"Premium";"MAST";"EMP";"M";77026;"URB";"MAR";110;9;82;3;"CORP";472.029737;"4D";"Medsize"
"AR";8819.018934;"Yes";"Basic";"HSOB";"EMP";"M";99845;"SUBU";"MAR";110;23;25;8;"CORP";528;"SUV";"Medsize"
"CAL";5384.431665;"No";"Basic";"COLL";"EMP";"M";83689;"URB";"SING";70;21;10;8;"CORP";307.139132;"4D";"Medsize"
"OR";7463.139377;"No";"Basic";"BACH";"EMP";"F";24599;"RUR";"MAR";64;12;50;2;"CORP";42.920271;"4D";"Medsize"
"NEV";2566.867823;"No";"Basic";"HSOB";"ML";"M";25049;"SUBU";"MAR";67;14;7;1;"PERS";454.245098;"2D";"Medsize"
"CAL";3945.241604;"No";"Basic";"COLL";"ML";"M";28855;"SUBU";"MAR";101;12;59;1;"PERS";647.442031;"SUV";"Medsize"
"OR";5710.333115;"No";"Basic";"COLL";"EMP";"M";51148;"URB";"MAR";72;9;1;7;"PERS";308.981664;"4D";"Medsize"
"CAL";8162.617053;"No";"Premium";"HSOB";"EMP";"F";66140;"SUBU";"MAR";101;11;21;3;"CORP";484.8;"4D";"Small"
"OR";2872.051273;"No";"Basic";"HSOB";"EMP";"M";57749;"SUBU";"SING";74;31;21;1;"PERS";355.2;"2D";"Medsize"
"WASH";3041.791561;"No";"Extended";"BACH";"DIS";"F";13789;"SUBU";"DIV";79;8;49;1;"PERS";379.2;"4D";"Medsize"
"AR";24127.50402;"Yes";"Basic";"BACH";"ML";"M";14072;"SUBU";"DIV";71;13;3;2;"PERS";511.2;"4D";"Medsize"
"NEV";2450.190996;"No";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"SING";73;4;44;1;"CORP";554.376763;"4D";"Medsize"
"CAL";2392.10789;"No";"Basic";"BACH";"DIS";"F";17870;"SUBU";"MAR";61;30;91;1;"CORP";439.2;"4D";"Medsize"
"OR";5802.065978;"No";"Basic";"COLL";"EMP";"M";97541;"SUBU";"MAR";72;22;1;3;"PERS";389.185006;"4D";"Large"
