"State";"Customer.Lifetime.Value";"Response";"Coverage";"Education";"EmploymentStatus";"Gender";"Income";"Location.Code";"Marital.Status";"Monthly.Premium.Auto";"Months.Since.Last.Claim";"Months.Since.Policy.Inception";"Number.of.Policies";"Policy.Type";"Total.Claim.Amount";"Vehicle.Class";"Vehicle.Size"
"Washington";2763.519279;"No";"Basic";"Bachelor";"Employed";"F";56274;"Suburban";"Married";69;32;5;1;"Corporate Auto";384.811147;"Two-Door Car";"Medsize"
"Arizona";6979.535903;"No";"Extended";"Bachelor";"Unemployed";"F";0;"Suburban";"Single";94;13;42;8;"Personal Auto";1131.464935;"Four-Door Car";"Medsize"
"Nevada";12887.43165;"No";"Premium";"Bachelor";"Employed";"F";48767;"Suburban";"Married";108;18;38;2;"Personal Auto";566.472247;"Two-Door Car";"Medsize"
"California";7645.861827;"No";"Basic";"Bachelor";"Unemployed";"M";0;"Suburban";"Married";106;18;65;7;"Corporate Auto";529.881344;"SUV";"Medsize"
"Washington";2813.692575;"No";"Basic";"Bachelor";"Employed";"M";43836;"Rural";"Single";73;12;44;1;"Personal Auto";138.130879;"Four-Door Car";"Medsize"
"Oregon";8256.2978;"Yes";"Basic";"Bachelor";"Employed";"F";62902;"Rural";"Married";69;14;94;2;"Personal Auto";159.383042;"Two-Door Car";"Medsize"
"Oregon";5380.898636;"Yes";"Basic";"College";"Employed";"F";55350;"Suburban";"Married";67;0;13;9;"Corporate Auto";321.6;"Four-Door Car";"Medsize"
"Arizona";7216.100311;"No";"Premium";"Master";"Unemployed";"M";0;"Urban";"Single";101;0;68;4;"Corporate Auto";363.02968;"Four-Door Car";"Medsize"
"Oregon";24127.50402;"Yes";"Basic";"Bachelor";"Medical Leave";"M";14072;"Suburban";"Divorced";71;13;3;2;"Corporate Auto";511.2;"Four-Door Car";"Medsize"
"Oregon";7388.178085;"No";"Extended";"College";"Employed";"F";28812;"Urban";"Married";93;17;7;8;"Special Auto";425.527834;"Four-Door Car";"Medsize"
"California";4738.992022;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";67;23;5;3;"Personal Auto";482.4;"Four-Door Car";"Small"
"California";8197.197078;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Married";110;27;87;3;"Personal Auto";528;"SUV";"Medsize"
"California";8798.797003;"No";"Premium";"Master";"Employed";"M";77026;"Urban";"Married";110;9;82;3;"Corporate Auto";472.029737;"Four-Door Car";"Medsize"
"Arizona";8819.018934;"Yes";"Basic";"High School or Below";"Employed";"M";99845;"Suburban";"Married";110;23;25;8;"Corporate Auto";528;"SUV";"Medsize"
"California";5384.431665;"No";"Basic";"College";"Employed";"M";83689;"Urban";"Single";70;21;10;8;"Corporate Auto";307.139132;"Four-Door Car";"Medsize"
"Oregon";7463.139377;"No";"Basic";"Bachelor";"Employed";"F";24599;"Rural";"Married";64;12;50;2;"Corporate Auto";42.920271;"Four-Door Car";"Medsize"
"Nevada";2566.867823;"No";"Basic";"High School or Below";"Medical Leave";"M";25049;"Suburban";"Married";67;14;7;1;"Personal Auto";454.245098;"Two-Door Car";"Medsize"
"California";3945.241604;"No";"Basic";"College";"Medical Leave";"M";28855;"Suburban";"Married";101;12;59;1;"Personal Auto";647.442031;"SUV";"Medsize"
"Oregon";5710.333115;"No";"Basic";"College";"Employed";"M";51148;"Urban";"Married";72;9;1;7;"Personal Auto";308.981664;"Four-Door Car";"Medsize"
"California";8162.617053;"No";"Premium";"High School or Below";"Employed";"F";66140;"Suburban";"Married";101;11;21;3;"Corporate Auto";484.8;"Four-Door Car";"Small"
"Oregon";2872.051273;"No";"Basic";"High School or Below";"Employed";"M";57749;"Suburban";"Single";74;31;21;1;"Personal Auto";355.2;"Two-Door Car";"Medsize"
"Washington";3041.791561;"No";"Extended";"Bachelor";"Disabled";"F";13789;"Suburban";"Divorced";79;8;49;1;"Personal Auto";379.2;"Four-Door Car";"Medsize"
"Arizona";24127.50402;"Yes";"Basic";"Bachelor";"Medical Leave";"M";14072;"Suburban";"Divorced";71;13;3;2;"Personal Auto";511.2;"Four-Door Car";"Medsize"
"Nevada";2450.190996;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Single";73;4;44;1;"Corporate Auto";554.376763;"Four-Door Car";"Medsize"
"California";2392.10789;"No";"Basic";"Bachelor";"Disabled";"F";17870;"Suburban";"Married";61;30;91;1;"Corporate Auto";439.2;"Four-Door Car";"Medsize"
"Oregon";5802.065978;"No";"Basic";"College";"Employed";"M";97541;"Suburban";"Married";72;22;1;3;"Personal Auto";389.185006;"Four-Door Car";"Large"
"California";3946.372085;"No";"Premium";"Bachelor";"Unemployed";"F";0;"Suburban";"Single";111;15;47;1;"Personal Auto";799.2;"Four-Door Car";"Small"
"Washington";5346.916576;"No";"Extended";"Master";"Disabled";"F";10511;"Urban";"Married";139;33;64;1;"Corporate Auto";516.237951;"SUV";"Medsize"
"Arizona";12902.56014;"No";"Premium";"College";"Employed";"F";86584;"Suburban";"Single";111;33;54;2;"Personal Auto";532.8;"Four-Door Car";"Large"
"Oregon";3235.360468;"No";"Extended";"Master";"Employed";"F";75690;"Suburban";"Married";80;17;44;1;"Personal Auto";384;"Four-Door Car";"Small"
"Arizona";2454.58354;"No";"Basic";"College";"Employed";"M";23158;"Suburban";"Married";63;4;6;1;"Personal Auto";322.294043;"Four-Door Car";"Small"
"Nevada";18975.45611;"No";"Extended";"High School or Below";"Employed";"M";65999;"Urban";"Married";237;1;14;6;"Corporate Auto";615.927769;"Luxury SUV";"Medsize"
"California";4715.321344;"No";"Basic";"Bachelor";"Unemployed";"M";0;"Urban";"Married";65;19;56;3;"Personal Auto";308.15089;"Four-Door Car";"Medsize"
"Washington";5018.885233;"No";"Basic";"Bachelor";"Employed";"M";54500;"Suburban";"Married";63;28;17;6;"Corporate Auto";302.4;"Two-Door Car";"Small"
"Oregon";4932.916345;"No";"Basic";"Bachelor";"Employed";"F";37260;"Rural";"Married";62;19;42;8;"Corporate Auto";15.437681;"Four-Door Car";"Medsize"
"Arizona";5744.229745;"No";"Basic";"High School or Below";"Employed";"F";68987;"Urban";"Married";71;11;40;6;"Personal Auto";204.475147;"Four-Door Car";"Medsize"
"California";13891.73567;"No";"Premium";"Bachelor";"Employed";"M";42305;"Suburban";"Married";117;10;62;2;"Personal Auto";561.6;"Four-Door Car";"Small"
"Oregon";7380.976717;"No";"Extended";"Master";"Employed";"F";65706;"Suburban";"Married";91;19;86;8;"Personal Auto";436.8;"Four-Door Car";"Small"
"Oregon";3090.034104;"No";"Extended";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";90;7;79;1;"Personal Auto";648;"Two-Door Car";"Small"
"Arizona";2521.633095;"No";"Basic";"High School or Below";"Employed";"M";53243;"Rural";"Divorced";66;4;15;1;"Personal Auto";157.397849;"Four-Door Car";"Medsize"
"Nevada";2652.061785;"No";"Basic";"High School or Below";"Unemployed";"F";0;"Suburban";"Married";70;7;1;1;"Corporate Auto";484.318536;"Two-Door Car";"Medsize"
"Oregon";2771.045031;"Yes";"Basic";"College";"Employed";"F";50071;"Rural";"Single";71;3;32;1;"Corporate Auto";18.918935;"Two-Door Car";"Medsize"
"California";3939.00637;"Yes";"Extended";"Bachelor";"Employed";"F";60021;"Suburban";"Married";99;12;28;1;"Personal Auto";882.871945;"Four-Door Car";"Small"
"Arizona";12231.87968;"No";"Basic";"High School or Below";"Employed";"M";43244;"Suburban";"Married";103;15;16;2;"Personal Auto";494.4;"Sports Car";"Medsize"
"Washington";2443.665166;"No";"Basic";"College";"Employed";"M";92834;"Suburban";"Married";61;15;56;1;"Special Auto";292.8;"Four-Door Car";"Large"
"Oregon";12819.10289;"No";"Premium";"Doctor";"Disabled";"F";10105;"Rural";"Married";172;5;4;3;"Personal Auto";0.517753;"SUV";"Medsize"
