"ST";"CLV";"Resp.";"COV";"EDUC";"EMPS";"GEN";"INC";"LOCC";"MARS";"MPA";"MSLC";"MSPI";"NOP";"PT";"TCA";"VC";"VS"
"OR";24178.68478;"No";"EXT";"COLL";"EMP";"M";43704;"SUBU";"MAR";201;29;67;2;"PERS";1064.482165;"LUXS";"M"
"CAL";5461.548993;"No";"BAS";"HSOB";"EMP";"F";39626;"SUBU";"MAR";69;23;0;3;"PERS";485.705851;"4D";"L"
"CAL";6039.020697;"No";"EXT";"HSOB";"UNEMP";"M";0;"SUBU";"DIV";89;6;49;3;"PERS";640.8;"4D";"M"
"AR";5116.624022;"No";"BAS";"HSOB";"EMP";"F";26173;"SUBU";"SING";68;2;10;9;"CORP";449.819671;"4D";"M"
"AR";13094.2046;"No";"BAS";"BACH";"EMP";"M";37541;"RUR";"MAR";109;10;31;2;"CORP";96.212835;"SUV";"L"
"CAL";7432.856752;"No";"BAS";"COLL";"EMP";"F";58839;"RUR";"SING";65;4;65;2;"PERS";18.965718;"2D";"M"
"OR";2237.347771;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"MAR";61;19;44;1;"PERS";292.8;"4D";"S"
"OR";7635.883324;"No";"EXT";"HSOB";"EMP";"M";30262;"SUBU";"MAR";98;0;96;9;"PERS";499.22561;"4D";"L"
"NEV";2435.619979;"No";"BAS";"DOCT";"DIS";"F";25703;"SUBU";"MAR";62;4;64;1;"PERS";297.6;"4D";"S"
"OR";6685.069081;"No";"EXT";"DOCT";"EMP";"M";56270;"SUBU";"MAR";83;23;2;4;"PERS";398.4;"4D";"M"
"WASH";7199.645715;"No";"EXT";"COLL";"EMP";"F";63328;"SUBU";"MAR";89;19;19;9;"PERS";427.2;"2D";"M"
"AR";11972.78231;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"SING";186;0;67;5;"PERS";1441.843837;"LUXS";"L"
"OR";10484.91535;"Yes";"EXT";"COLL";"EMP";"F";61108;"RUR";"DIV";89;22;93;2;"CORP";49.451117;"4D";"M"
"AR";7196.721128;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";107;22;96;4;"PERS";770.4;"SUV";"M"
"CAL";6529.911496;"No";"EXT";"HSOB";"EMP";"M";44379;"SUBU";"MAR";83;10;12;8;"SPEC";398.4;"4D";"M"
"CAL";12767.23056;"No";"BAS";"COLL";"UNEMP";"M";0;"SUBU";"SING";189;28;90;5;"CORP";2201.327879;"LUX";"M"
"CAL";5418.463878;"No";"BAS";"HSOB";"EMP";"F";43054;"SUBU";"MAR";68;5;41;4;"PERS";326.4;"4D";"L"
"CAL";11095.97445;"No";"BAS";"BACH";"UNEMP";"F";0;"SUBU";"SING";101;10;48;2;"PERS";727.2;"SUV";"M"
"CAL";27287.50099;"No";"BAS";"BACH";"UNEMP";"F";0;"SUBU";"SING";116;12;76;2;"PERS";835.2;"SUV";"S"
"NEV";2758.703811;"No";"BAS";"HSOB";"EMP";"F";44619;"URB";"MAR";68;35;45;1;"CORP";283.668439;"4D";"M"
